county_name,parameter,Turbidity_result
Modoc,Turbidity,44.4
Modoc,Turbidity,16.3
Modoc,Turbidity,46.2
Modoc,Turbidity,33.7
Modoc,Turbidity,77.4
Modoc,Turbidity,5.5
Modoc,Turbidity,198
Modoc,Turbidity,41.1
Modoc,Turbidity,21.5
Modoc,Turbidity,98.5
Modoc,Turbidity,42
Modoc,Turbidity,20
Modoc,Turbidity,12.7
Modoc,Turbidity,16.7
Modoc,Turbidity,26.9
Modoc,Turbidity,1.4
Santa Clara,Turbidity,7
Santa Clara,Turbidity,3.8
Santa Clara,Turbidity,2.4
Santa Clara,Turbidity,3.6
Santa Clara,Turbidity,13.4
Santa Clara,Turbidity,7.8
Santa Clara,Turbidity,23.8
Santa Clara,Turbidity,5
Santa Clara,Turbidity,8.7
Santa Clara,Turbidity,11.7
Santa Clara,Turbidity,10.5
Santa Clara,Turbidity,2
Santa Clara,Turbidity,2.5
Santa Clara,Turbidity,7
Santa Clara,Turbidity,15.5
Santa Clara,Turbidity,8.1
Santa Clara,Turbidity,12.7
Santa Clara,Turbidity,12.7
Santa Clara,Turbidity,4.9
Santa Clara,Turbidity,3.5
Santa Clara,Turbidity,11.1
Santa Clara,Turbidity,6.4
Santa Clara,Turbidity,12.7
Santa Clara,Turbidity,7.2
Santa Clara,Turbidity,17.5
Santa Clara,Turbidity,15.4
Santa Clara,Turbidity,14.5
Santa Clara,Turbidity,8.9
Santa Clara,Turbidity,13.7
Santa Clara,Turbidity,3.7
Santa Clara,Turbidity,4.7
Santa Clara,Turbidity,3.6
Santa Clara,Turbidity,10.8
Santa Clara,Turbidity,6.2
Santa Clara,Turbidity,5.3
Santa Clara,Turbidity,5.4
Santa Clara,Turbidity,5.2
Santa Clara,Turbidity,4.1
Santa Clara,Turbidity,5.4
Santa Clara,Turbidity,8.1
Santa Clara,Turbidity,5.6
Santa Clara,Turbidity,20.8
Santa Clara,Turbidity,4.3
Santa Clara,Turbidity,3.1
Santa Clara,Turbidity,5.9
Santa Clara,Turbidity,6.3
Santa Clara,Turbidity,22.7
Santa Clara,Turbidity,10.3
Santa Clara,Turbidity,4.9
Santa Clara,Turbidity,5.1
Santa Clara,Turbidity,12.3
Santa Clara,Turbidity,4.5
Santa Clara,Turbidity,3.7
Santa Clara,Turbidity,6.5
Santa Clara,Turbidity,5
Santa Clara,Turbidity,8.4
Santa Clara,Turbidity,7.1
Santa Clara,Turbidity,1.8
Santa Clara,Turbidity,11.1
Santa Clara,Turbidity,17.1
Santa Clara,Turbidity,7.4
Santa Clara,Turbidity,3.6
Santa Clara,Turbidity,3.2
Santa Clara,Turbidity,1.6
Santa Clara,Turbidity,7.6
Santa Clara,Turbidity,8.4
Santa Clara,Turbidity,2.3
