county_name,SpecificConductance_result
Santa Clara,493
Santa Clara,661
Santa Clara,479
Santa Clara,508
Santa Clara,490
Santa Clara,366
Santa Clara,363
Santa Clara,290
Santa Clara,298
Santa Clara,194
Santa Clara,255
Santa Clara,303
Santa Clara,222
Santa Clara,279
Santa Clara,271
Santa Clara,304
Santa Clara,298
Santa Clara,297
Santa Clara,272
Santa Clara,247
Santa Clara,386
Santa Clara,355
Santa Clara,286
Santa Clara,286
Santa Clara,135
Santa Clara,218
Santa Clara,298
Santa Clara,316
Santa Clara,316
Santa Clara,318
Santa Clara,316
Santa Clara,344
Santa Clara,387
Santa Clara,307
Santa Clara,281
Santa Clara,280
Santa Clara,252
Santa Clara,180
Santa Clara,318
Santa Clara,236
Santa Clara,236
Santa Clara,406
Santa Clara,246
Santa Clara,295
Santa Clara,336
Santa Clara,319
Santa Clara,320
Santa Clara,342
Santa Clara,354
Santa Clara,393
Santa Clara,473
Santa Clara,421
Santa Clara,490
Santa Clara,502
Santa Clara,517
Santa Clara,516
Santa Clara,520
Santa Clara,522
Santa Clara,390
Santa Clara,567
Santa Clara,660
Santa Clara,535
Santa Clara,438
Santa Clara,253
Santa Clara,210
Santa Clara,261
Santa Clara,225
Santa Clara,229
Santa Clara,249
Santa Clara,301
Santa Clara,277
Santa Clara,264
Santa Clara,276
Santa Clara,368
Santa Clara,460
Santa Clara,460
Santa Clara,516
Santa Clara,478
Santa Clara,385
Santa Clara,466
Santa Clara,466
Santa Clara,488
Santa Clara,488
Santa Clara,571
Santa Clara,549
Santa Clara,688
Santa Clara,726
Santa Clara,905
Santa Clara,618
Santa Clara,340
Santa Clara,340
Santa Clara,524
Santa Clara,441
Santa Clara,342
Santa Clara,421
Santa Clara,647
Santa Clara,690
Santa Clara,710
Santa Clara,694
Santa Clara,694
Santa Clara,835
Santa Clara,835
Santa Clara,873
Santa Clara,873
Santa Clara,675
Santa Clara,867
Santa Clara,649
Santa Clara,242
Santa Clara,242
Santa Clara,275
Santa Clara,315
Santa Clara,309
Santa Clara,320
Santa Clara,588
Santa Clara,490
Santa Clara,561
Santa Clara,561
Santa Clara,673
Santa Clara,683
Santa Clara,380
Santa Clara,755
Santa Clara,517
Santa Clara,788
Santa Clara,837
Santa Clara,418
Santa Clara,484
Santa Clara,662
Santa Clara,718
Santa Clara,396
Santa Clara,752
Santa Clara,785
Santa Clara,443
Santa Clara,487
Santa Clara,172
Santa Clara,172
Santa Clara,433
Santa Clara,433
Santa Clara,479
Santa Clara,479
Santa Clara,451
Santa Clara,539
Santa Clara,653
Santa Clara,590
Santa Clara,494
Santa Clara,422
Santa Clara,397
Santa Clara,414
Santa Clara,266
Santa Clara,219
Santa Clara,283
Santa Clara,243
Santa Clara,365
Santa Clara,345
Santa Clara,322
Santa Clara,340
Santa Clara,249
Santa Clara,343
Santa Clara,376
Santa Clara,412
Santa Clara,335
Santa Clara,302
Santa Clara,461
Santa Clara,277
Santa Clara,343
Santa Clara,441
Santa Clara,539
Santa Clara,417
Santa Clara,537
Santa Clara,337
Santa Clara,390
Santa Clara,299
Santa Clara,319
Santa Clara,261
Santa Clara,483
Santa Clara,508
Santa Clara,477
Santa Clara,427
Santa Clara,425
Santa Clara,280
Santa Clara,254
Santa Clara,377
Santa Clara,456
Santa Clara,455
Santa Clara,434
Santa Clara,512
Santa Clara,634
Santa Clara,478
Santa Clara,476
Santa Clara,486
Santa Clara,197
Santa Clara,225
Santa Clara,564
Santa Clara,356
Santa Clara,270
Santa Clara,348
Santa Clara,415
Santa Clara,574
Santa Clara,390
Santa Clara,440
Santa Clara,363
Santa Clara,262
Santa Clara,381
Santa Clara,358
Santa Clara,272
Santa Clara,339
Santa Clara,158
Santa Clara,128
Santa Clara,284
Santa Clara,302
Santa Clara,417
Santa Clara,513
Santa Clara,398
Santa Clara,541
Santa Clara,410
Santa Clara,405
Santa Clara,375
Santa Clara,448
Santa Clara,422
Santa Clara,450
Santa Clara,357
Santa Clara,202
Santa Clara,271
Santa Clara,460
Santa Clara,282
Santa Clara,170
Santa Clara,208
Santa Clara,340
Santa Clara,369
Santa Clara,375
Santa Clara,338
Santa Clara,291
Santa Clara,503
Santa Clara,336
Santa Clara,424
Santa Clara,394
Santa Clara,377
Santa Clara,392
Santa Clara,480
Santa Clara,445
Santa Clara,432
Santa Clara,458
Santa Clara,495
Santa Clara,463
Santa Clara,432
Santa Clara,454
Santa Clara,368
Santa Clara,355
Santa Clara,363
Santa Clara,388
Santa Clara,441
Santa Clara,496
Santa Clara,508
Santa Clara,552
Santa Clara,644
Santa Clara,476
Santa Clara,397
Santa Clara,187
Santa Clara,334
Santa Clara,344
Santa Clara,403
Santa Clara,395
Santa Clara,493.4
Santa Clara,422
Santa Clara,660
Santa Clara,651
Santa Clara,643
Santa Clara,644
Santa Clara,425
Santa Clara,518
Santa Clara,277
Santa Clara,384.6
Santa Clara,440.1
Santa Clara,448
Santa Clara,322
Santa Clara,393
Santa Clara,549
Santa Clara,601
Santa Clara,351
Santa Clara,424
Santa Clara,426
Santa Clara,282
Santa Clara,345
Santa Clara,392
Santa Clara,437
Santa Clara,470
Santa Clara,515
Santa Clara,366
Santa Clara,413
Santa Clara,347
Santa Clara,428
Santa Clara,347
Santa Clara,392
Santa Clara,292
Santa Clara,380
Santa Clara,387
Santa Clara,435
Santa Clara,385
Santa Clara,553
Santa Clara,366
Santa Clara,418
Santa Clara,359
Santa Clara,399
Santa Clara,316
Santa Clara,349
Santa Clara,409
Santa Clara,404
Santa Clara,368.8
Santa Clara,408
Santa Clara,448
Santa Clara,491
Santa Clara,434
Santa Clara,4.82
Santa Clara,362
Santa Clara,414
Santa Clara,287
Santa Clara,396.1
Santa Clara,391.1
Santa Clara,431
Santa Clara,303
Santa Clara,356
Santa Clara,448.8
Santa Clara,489.5
Santa Clara,707
Santa Clara,676
Santa Clara,727
Santa Clara,755
Santa Clara,757
Santa Clara,807
Santa Clara,753
Santa Clara,806
Santa Clara,798
Santa Clara,840
Santa Clara,780
Santa Clara,532
Santa Clara,571
Santa Clara,528
Santa Clara,500
Santa Clara,549
Santa Clara,506
Santa Clara,550
Santa Clara,501
Santa Clara,513
Santa Clara,638
Santa Clara,884
Santa Clara,892
Santa Clara,714
Santa Clara,893
Santa Clara,930
Santa Clara,776
Santa Clara,764
Santa Clara,817
Santa Clara,756
Santa Clara,782
Santa Clara,973
Santa Clara,880
Santa Clara,962
Santa Clara,686
Santa Clara,418
Santa Clara,422
Santa Clara,395
Santa Clara,422
Santa Clara,1020
Santa Clara,1030
Santa Clara,914
Santa Clara,793
Santa Clara,820
Santa Clara,847
Santa Clara,847
Santa Clara,910
Santa Clara,878
Santa Clara,838
Santa Clara,1231
Santa Clara,1122
Santa Clara,1181
Santa Clara,1230
Santa Clara,1280
Santa Clara,1410
Santa Clara,1370
Santa Clara,1440
Santa Clara,1440
Santa Clara,1480
Santa Clara,1580
Santa Clara,435
Santa Clara,427
Santa Clara,461
Santa Clara,538
Santa Clara,572
Santa Clara,638
Santa Clara,621
Santa Clara,658
Santa Clara,746
Santa Clara,745
Santa Clara,754
Santa Clara,687
Santa Clara,675
Santa Clara,891
Santa Clara,412
Santa Clara,468
Santa Clara,470
Santa Clara,514
Santa Clara,557
Santa Clara,589
Santa Clara,616
Santa Clara,578
Santa Clara,536
Santa Clara,534
Santa Clara,764
Santa Clara,731
Santa Clara,740
Santa Clara,735
Santa Clara,723
Santa Clara,789
